id,Staðarlýsing,Breidd,Lengd
530,Langavatn,64.1202,-21.6781
531,Mosfellsheiði,64.1044,-21.5450
532,Háhryggur,64.1116,-21.2827
533,Hellisvík,64.1243,-21.0795
534,Hreppamörk,64.1515,-21.0314
535,Mjónes,64.1838,-21.0924
536,Lyngdalsheiðarvegamót,64.2302,-21.0515
537,Valhöll,64.2510,-21.1292
538,Bær,64.6096,-21.5500
539,Snartarstaðir,64.5404,-21.3663
540,Reykir,64.4934,-21.1751
541,Uxahryggir,64.4350,-20.9879
542,Bláskógaheiði,64.4409,-20.8627
543,Norðan Skjaldbreiðar,64.4471,-20.6999
544,Tjaldafell,64.4498,-20.6520
545,Hlöðufell,64.4560,-20.5205
546,Mosaskarðsfjall,64.4373,-20.3327
547,Sandvatn,64.4005,-20.2136
548,Kotlaugar,64.1764,-20.2856
549,Austan Húsatófta,64.0325,-20.4642
550,Kílhraun,63.9722,-20.6082
551,Norðan Hellatúns,63.8496,-20.5686
552,Sandhólaferja,63.8256,-20.6746
553,Háfur,63.7814,-20.7051
554,Þykkvibær,63.7486,-20.6004
555,Þverármynni,63.7801,-20.4758
556,Gunnarsholt,63.8574,-20.2166
557,Brekknaheiði,63.8899,-20.0876
558,Pálsteinshraun,63.9195,-20.0045
559,Haukadalsvegamót,63.9514,-19.9890
560,Múli,64.2697,-20.3527
561,Efri Reykir,64.2399,-20.5168
562,Laugarvatn,64.2208,-20.7303
563,Vestan Laugarvatns (hæð),64.2110,-20.7811
564,Lyngdalsheiði,64.2173,-20.9501
565,Efra Apavatn,64.1663,-20.7185
566,Skálholt,64.1225,-20.5081
567,Vegamót 35/37,64.1065,-20.7024
568,Seyðishólar,64.0515,-20.8444
569,Öndverðarnes,64.0134,-20.9520
570,Írafoss,64.0861,-20.9874
571,Litla Sauðafell,64.2088,-21.3799
572,Seljabrekka,64.1828,-21.5724
573,Mosfellsbær,64.1673,-21.6931
574,Seltjarnarnes (útsýnisplan),64.1612,-22.0153
575,Kjalarnes (yst),64.2339,-21.9040
576,Miðdalsvegamót 47/460,64.3299,-21.6540
577,Hvalstöð,64.3946,-21.4429
578,Vegamót 1/47,64.3869,-21.8443
579,Norðan Fiskilækjar,64.4439,-21.9589
580,Bjarg Borgarnesi,64.5508,-21.9001
581,Gulá,64.6101,-21.8139
582,Svignaskarð,64.6698,-21.6984
583,Hrauná,64.7461,-21.5802
584,Bjarnadalsá,64.7987,-21.4729
585,Norðurárdalur,64.8949,-21.1889
586,Holtavörðuheiði (nyrst),65.0798,-21.0967
587,Brautarholt,65.2020,-21.0615
588,Fjarðarhorn,65.1655,-21.0954
589,Laxárdalur (vegamót),65.1805,-21.4933
590,Prestsbakki,65.3107,-21.1975
591,Bitrufjarðarbotn,65.4395,-21.4685
592,Hvítahlíð,65.4846,-21.3861
593,Kollafjarðarbotn,65.5575,-21.4776
594,Hólmavík,65.7059,-21.6634
595,Drangsnes (vegamót),65.7676,-21.7938
596,Steingrímsfjarðarheiði (sæluhús),65.7510,-22.1294
597,Tyrðilmýri,66.1082,-22.6121
598,Kaldalón,66.0763,-22.4755
599,Melgraseyri,66.0222,-22.4559
600,Blævardalsstöð,65.9738,-22.3830
601,Flugvöllur,65.9030,-22.3658
602,Eyrarfjall (sæluhús),65.8029,-22.6000
603,Garðstaðir,66.0450,-22.7172
604,Bolungarvík,66.1469,-23.2412
